Region,Fuel,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Pacific,gasolineDolPerGal,3.069722209,3.086530987,3.149335121,3.191860271,3.234319895,3.265413474,3.310172144,3.361870727,3.382550831,3.419458424,3.445939114,3.905952725,3.926745854,3.94153759,4.04380724,4.069785223,4.101621485,4.131632187,4.150380173,4.186986739,4.222034206,4.24329647,4.271472039,4.320977264,4.352638953,4.378992691,4.404960727,4.442638731,4.473804801,4.513358847,4.544393116,4.578084905,4.637600008,4.697888808,4.758961363,4.820827861,4.883498623,4.946984105,5.011294898,5.076441732,5.142435474,5.209287136,5.277007868,5.345608971,5.415101887,5.485498212,5.556809689,5.629048215,5.702225841,5.776354777,5.851447389,5.927516205,6.004573916,6.082633377,6.161707611,6.24180981,6.322953337,6.405151731,6.488418703,6.572768146,6.658214132,6.744770916,6.832452938,6.921274826,7.011251399,7.102397667,7.194728837,7.288260312,7.383007696,7.478986796,7.576213624,7.674704401,7.774475558,7.875543741,7.977925809,8.081638845,8.18670015,8.293127252,8.400937906,8.510150099,8.62078205,8.732852217
Pacific,dieselDolPerGal,3.243445751,3.251054873,3.382408693,3.528446757,3.651060536,3.807813356,3.927696825,3.995680912,4.009688691,4.065603033,4.101343249,4.521756311,4.558743947,4.579287352,4.687445902,4.709592956,4.737764716,4.776970093,4.805358778,4.835536163,4.862689106,4.862680176,4.873186251,4.934654494,4.953993617,4.982061655,5.033124661,5.030281012,5.071288691,5.098808029,5.121131205,5.144641353,5.221810973,5.300138137,5.379640209,5.460334813,5.542239835,5.625373432,5.709754034,5.795400344,5.882331349,5.97056632,6.060124815,6.151026687,6.243292087,6.336941468,6.43199559,6.528475524,6.626402657,6.725798697,6.826685677,6.929085963,7.033022252,7.138517586,7.24559535,7.35427928,7.464593469,7.576562371,7.690210807,7.805563969,7.922647428,8.04148714,8.162109447,8.284541088,8.408809205,8.534941343,8.662965463,8.792909945,8.924803594,9.058675648,9.194555783,9.332474119,9.472461231,9.61454815,9.758766372,9.905147868,10.05372509,10.20453096,10.35759893,10.51296291,10.67065735,10.83071721
Pacific,CNGDolPerGge,2.035133231,1.971391229,1.845780418,1.801504832,1.822917671,1.810365148,1.823601055,1.834954245,1.834601999,1.822735306,1.800229567,2.153267354,2.124395715,2.108736174,2.153293608,2.146426303,2.134144303,2.117576286,2.116551209,2.111846925,2.103013506,2.093048063,2.084490958,2.074735421,2.070778869,2.068572349,2.067092197,2.067146894,2.072669309,2.075536435,2.079184111,2.08436921,2.086453579,2.088540033,2.090628573,2.092719201,2.09481192,2.096906732,2.099003639,2.101102643,2.103203745,2.105306949,2.107412256,2.109519668,2.111629188,2.113740817,2.115854558,2.117970413,2.120088383,2.122208471,2.12433068,2.126455011,2.128581466,2.130710047,2.132840757,2.134973598,2.137108571,2.13924568,2.141384926,2.143526311,2.145669837,2.147815507,2.149963322,2.152113286,2.154265399,2.156419664,2.158576084,2.16073466,2.162895395,2.16505829,2.167223348,2.169390572,2.171559962,2.173731522,2.175905254,2.178081159,2.18025924,2.182439499,2.184621939,2.186806561,2.188993367,2.191182361
Pacific,dolPerKwh,0.150672214,0.156410908,0.151477968,0.152424341,0.157182143,0.157716622,0.160894392,0.165551502,0.166433204,0.166785879,0.166642172,0.168101706,0.17022279,0.170000027,0.169805519,0.17001156,0.168847535,0.167110425,0.166457958,0.165650215,0.164498935,0.163526515,0.162721866,0.16236594,0.161658025,0.160917495,0.160790916,0.160988795,0.160924186,0.16110625,0.160870938,0.160227281,0.160547736,0.160868831,0.161190569,0.16151295,0.161835976,0.162159648,0.162483967,0.162808935,0.163134553,0.163460822,0.163787744,0.164115319,0.16444355,0.164772437,0.165101982,0.165432186,0.16576305,0.166094576,0.166426765,0.166759619,0.167093138,0.167427324,0.167762179,0.168097703,0.168433899,0.168770767,0.169108308,0.169446525,0.169785418,0.170124989,0.170465239,0.170806169,0.171147781,0.171490077,0.171833057,0.172176723,0.172521077,0.172866119,0.173211851,0.173558275,0.173905391,0.174253202,0.174601709,0.174950912,0.175300814,0.175651415,0.176002718,0.176354724,0.176707433,0.177060848
Pacific,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Mountain,gasolineDolPerGal,2.726837375,2.682777123,2.669270939,2.654259869,2.625576869,2.568933657,2.595847175,2.613900597,2.652008569,2.662933081,2.702629123,2.737765991,2.75987613,2.789505481,2.84055675,2.891643082,2.929724072,2.967243667,2.977541133,3.012140106,3.056067563,3.066199656,3.089262115,3.139283102,3.165494969,3.191915727,3.235352663,3.244276793,3.306140419,3.344979511,3.377144528,3.402597547,3.42641573,3.45040064,3.474553445,3.498875319,3.523367446,3.548031018,3.572867235,3.597877306,3.623062447,3.648423884,3.673962852,3.699680592,3.725578356,3.751657404,3.777919006,3.804364439,3.83099499,3.857811955,3.884816639,3.912010355,3.939394428,3.966970189,3.99473898,4.022702153,4.050861068,4.079217095,4.107771615,4.136526016,4.165481699,4.19464007,4.224002551,4.253570569,4.283345563,4.313328982,4.343522285,4.373926941,4.404544429,4.43537624,4.466423874,4.497688841,4.529172663,4.560876871,4.59280301,4.624952631,4.657327299,4.68992859,4.72275809,4.755817397,4.789108119,4.822631876
Mountain,dieselDolPerGal,3.072332083,2.942515556,2.942233512,2.966334811,2.965090002,2.996862792,2.988484063,3.047476426,3.054929482,3.100653451,3.130638503,3.148011017,3.184551615,3.209649201,3.252512622,3.281280753,3.310786483,3.344663538,3.367366848,3.39656924,3.427207126,3.427580803,3.451830472,3.502873009,3.525141095,3.554633774,3.603937479,3.606576156,3.640135037,3.672541841,3.695879851,3.717085845,3.73938836,3.76182469,3.784395638,3.807102012,3.829944624,3.852924292,3.876041837,3.899298088,3.922693877,3.94623004,3.96990742,3.993726865,4.017689226,4.041795361,4.066046134,4.09044241,4.114985065,4.139674975,4.164513025,4.189500103,4.214637104,4.239924927,4.265364476,4.290956663,4.316702403,4.342602617,4.368658233,4.394870182,4.421239404,4.44776684,4.474453441,4.501300162,4.528307963,4.55547781,4.582810677,4.610307541,4.637969387,4.665797203,4.693791986,4.721954738,4.750286466,4.778788185,4.807460914,4.83630568,4.865323514,4.894515455,4.923882548,4.953425843,4.983146398,5.013045277
Mountain,CNGDolPerGge,1.686393173,1.644044319,1.632912618,1.601914765,1.572994736,1.548691477,1.530444985,1.502410653,1.467981851,1.429135503,1.381500523,1.337833033,1.300468252,1.279114356,1.268454975,1.260792705,1.251940496,1.242809271,1.246442534,1.246287067,1.245907924,1.243036036,1.241558588,1.242358572,1.245096743,1.248107366,1.253019497,1.260110093,1.270833951,1.278390303,1.285433152,1.295619955,1.285254995,1.274972955,1.264773172,1.254654986,1.244617747,1.234660805,1.224783518,1.21498525,1.205265368,1.195623245,1.186058259,1.176569793,1.167157235,1.157819977,1.148557417,1.139368958,1.130254006,1.121211974,1.112242278,1.10334434,1.094517585,1.085761445,1.077075353,1.06845875,1.05991108,1.051431791,1.043020337,1.034676174,1.026398765,1.018187575,1.010042074,1.001961738,0.993946044,0.985994475,0.97810652,0.970281668,0.962519414,0.954819259,0.947180705,0.939603259,0.932086433,0.924629742,0.917232704,0.909894842,0.902615683,0.895394758,0.8882316,0.881125747,0.874076741,0.867084127
Mountain,dolPerKwh,0.107094662,0.11044443,0.10786374,0.107566463,0.109148317,0.108970354,0.109316891,0.109758618,0.109481919,0.107995826,0.107282134,0.106459269,0.104986837,0.104585231,0.104320627,0.104586344,0.104368389,0.104054662,0.103509759,0.102908001,0.101817765,0.101375014,0.100758687,0.100236371,0.099217712,0.098825035,0.098381874,0.097759481,0.096904853,0.096367511,0.095684081,0.094934485,0.094554747,0.094176528,0.093799822,0.093424623,0.093050924,0.09267872,0.092308005,0.091938773,0.091571018,0.091204734,0.090839915,0.090476556,0.090114649,0.089754191,0.089395174,0.089037593,0.088681443,0.088326717,0.08797341,0.087621517,0.087271031,0.086921947,0.086574259,0.086227962,0.08588305,0.085539518,0.08519736,0.08485657,0.084517144,0.084179075,0.083842359,0.08350699,0.083172962,0.08284027,0.082508909,0.082178873,0.081850158,0.081522757,0.081196666,0.080871879,0.080548392,0.080226198,0.079905293,0.079585672,0.07926733,0.07895026,0.078634459,0.078319921,0.078006642,0.077694615
Mountain,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
West South Central,gasolineDolPerGal,2.611791293,2.557939888,2.531070635,2.505851748,2.468613907,2.404557794,2.419052481,2.439352851,2.474760406,2.487610199,2.527431452,2.565143774,2.587260876,2.616480154,2.66489442,2.722292251,2.759345571,2.796178685,2.806382398,2.840650627,2.884690238,2.895253792,2.918323462,2.968797544,2.99531392,3.021655722,3.068118347,3.075263918,3.138003147,3.176660453,3.208294165,3.234049953,3.256688302,3.27948512,3.302441516,3.325558607,3.348837517,3.37227938,3.395885335,3.419656533,3.443594128,3.467699287,3.491973182,3.516416995,3.541031914,3.565819137,3.590779871,3.61591533,3.641226737,3.666715324,3.692382332,3.718229008,3.744256611,3.770466407,3.796859672,3.82343769,3.850201754,3.877153166,3.904293238,3.931623291,3.959144654,3.986858666,4.014766677,4.042870044,4.071170134,4.099668325,4.128366003,4.157264565,4.186365417,4.215669975,4.245179665,4.274895923,4.304820194,4.334953936,4.365298613,4.395855703,4.426626693,4.45761308,4.488816372,4.520238086,4.551879753,4.583742911
West South Central,dieselDolPerGal,2.985787686,2.842448334,2.816444721,2.822678934,2.804686968,2.820156069,2.793316767,2.855005507,2.862527117,2.910958041,2.939893914,2.956836426,2.99427687,3.017205759,3.058825333,3.091551273,3.121051507,3.154433029,3.177623217,3.206821076,3.23745539,3.237824808,3.262071318,3.313110282,3.335374659,3.364865552,3.41416651,3.416802164,3.450357611,3.482760706,3.505273193,3.525083258,3.542708674,3.560422218,3.578224329,3.59611545,3.614096028,3.632166508,3.65032734,3.668578977,3.686921872,3.705356481,3.723883264,3.74250268,3.761215193,3.780021269,3.798921376,3.817915983,3.837005563,3.85619059,3.875471543,3.894848901,3.914323146,3.933894761,3.953564235,3.973332056,3.993198717,4.01316471,4.033230534,4.053396686,4.07366367,4.094031988,4.114502148,4.135074659,4.155750032,4.176528782,4.197411426,4.218398483,4.239490476,4.260687928,4.281991368,4.303401325,4.324918331,4.346542923,4.368275637,4.390117016,4.412067601,4.434127939,4.456298578,4.478580071,4.500972972,4.523477837
West South Central,CNGDolPerGge,1.483270357,1.434278775,1.334604396,1.320769659,1.329698442,1.320445598,1.332639827,1.339974561,1.336078884,1.321722407,1.298663911,1.275957918,1.249159083,1.235047003,1.229251363,1.223706426,1.213487191,1.204963418,1.204488782,1.202077632,1.198867012,1.195036199,1.191244509,1.191191486,1.190638729,1.190133334,1.190919162,1.194227077,1.199126209,1.202076988,1.204149149,1.210974627,1.202497805,1.19408032,1.185721758,1.177421706,1.169179754,1.160995495,1.152868527,1.144798447,1.136784858,1.128827364,1.120925572,1.113079093,1.10528754,1.097550527,1.089867673,1.0822386,1.074662929,1.067140289,1.059670307,1.052252615,1.044886846,1.037572639,1.03030963,1.023097463,1.01593578,1.00882423,1.00176246,0.994750123,0.987786872,0.980872364,0.974006258,0.967188214,0.960417896,0.953694971,0.947019106,0.940389972,0.933807243,0.927270592,0.920779698,0.91433424,0.9079339,0.901578363,0.895267314,0.889000443,0.88277744,0.876597998,0.870461812,0.864368579,0.858317999,0.852309773
West South Central,dolPerKwh,0.085309168,0.087714024,0.088787245,0.089167765,0.08929998,0.090344137,0.092157008,0.093448521,0.094718519,0.09543926,0.095371293,0.094984986,0.094627047,0.094400251,0.094373044,0.094507183,0.094015422,0.093531211,0.093394011,0.09323839,0.092861152,0.092328075,0.091895939,0.091162539,0.090851918,0.090534431,0.090141935,0.089789319,0.089561134,0.089216198,0.088724259,0.088405623,0.088494028,0.088582523,0.088671105,0.088759776,0.088848536,0.088937384,0.089026322,0.089115348,0.089204464,0.089293668,0.089382962,0.089472345,0.089561817,0.089651379,0.08974103,0.089830771,0.089920602,0.090010523,0.090100533,0.090190634,0.090280824,0.090371105,0.090461476,0.090551938,0.09064249,0.090733132,0.090823865,0.090914689,0.091005604,0.091096609,0.091187706,0.091278894,0.091370173,0.091461543,0.091553004,0.091644557,0.091736202,0.091827938,0.091919766,0.092011686,0.092103697,0.092195801,0.092287997,0.092380285,0.092472665,0.092565138,0.092657703,0.092750361,0.092843111,0.092935954
West South Central,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
East South Central,gasolineDolPerGal,2.636269238,2.577522194,2.548280286,2.518140892,2.475542008,2.405744246,2.416299717,2.43729291,2.47207976,2.484995454,2.52391835,2.561827626,2.583268692,2.612245383,2.660245596,2.716550603,2.754864233,2.790179528,2.801352348,2.835675907,2.879483625,2.889570459,2.912729157,2.962406717,2.988510408,3.014792527,3.060174886,3.06655216,3.131411759,3.169524083,3.201053971,3.225628156,3.248207553,3.270945006,3.293841621,3.316898512,3.340116802,3.363497619,3.387042103,3.410751397,3.434626657,3.458669044,3.482879727,3.507259885,3.531810704,3.556533379,3.581429113,3.606499117,3.63174461,3.657166823,3.68276699,3.708546359,3.734506184,3.760647727,3.786972261,3.813481067,3.840175435,3.867056663,3.894126059,3.921384942,3.948834636,3.976476479,4.004311814,4.032341997,4.060568391,4.088992369,4.117615316,4.146438623,4.175463694,4.204691939,4.234124783,4.263763657,4.293610002,4.323665272,4.353930929,4.384408446,4.415099305,4.446005,4.477127035,4.508466924,4.540026193,4.571806376
East South Central,dieselDolPerGal,2.991196925,2.858675228,2.838558666,2.852262558,2.840096646,2.866277069,2.859075694,2.910525153,2.917020115,2.96294466,2.991723094,3.008487148,3.045023488,3.070117227,3.123119503,3.148047286,3.181385533,3.215259566,3.237959853,3.267158948,3.297794362,3.297204997,3.32241235,3.373404056,3.39571789,3.42211194,3.474510839,3.47708742,3.510703589,3.543107783,3.566443594,3.58764739,3.609173274,3.630828314,3.652613284,3.674528963,3.696576137,3.718755594,3.741068127,3.763514536,3.786095623,3.808812197,3.83166507,3.854655061,3.877782991,3.901049689,3.924455987,3.948002723,3.97169074,3.995520884,4.019494009,4.043610973,4.067872639,4.092279875,4.116833554,4.141534556,4.166383763,4.191382065,4.216530358,4.24182954,4.267280517,4.2928842,4.318641506,4.344553355,4.370620675,4.396844399,4.423225465,4.449764818,4.476463407,4.503322187,4.53034212,4.557524173,4.584869318,4.612378534,4.640052805,4.667893122,4.695900481,4.724075884,4.752420339,4.780934861,4.80962047,4.838478193
East South Central,CNGDolPerGge,1.640487374,1.601096377,1.569352079,1.55204109,1.545049334,1.535638707,1.540198592,1.538174693,1.523307415,1.497164037,1.461238739,1.425656677,1.39018491,1.368207731,1.35561158,1.345221306,1.331115661,1.317416056,1.312614734,1.307314065,1.302086625,1.297671395,1.294174295,1.293947658,1.293912395,1.293384735,1.295898843,1.299794649,1.306023485,1.309247232,1.311892354,1.317791209,1.308566671,1.299406704,1.290310857,1.281278681,1.272309731,1.263403562,1.254559738,1.245777819,1.237057375,1.228397973,1.219799187,1.211260593,1.202781769,1.194362296,1.18600176,1.177699748,1.16945585,1.161269659,1.153140771,1.145068786,1.137053304,1.129093931,1.121190274,1.113341942,1.105548548,1.097809708,1.09012504,1.082494165,1.074916706,1.067392289,1.059920543,1.052501099,1.045133591,1.037817656,1.030552933,1.023339062,1.016175689,1.009062459,1.001999022,0.994985029,0.988020133,0.981103992,0.974236264,0.967416611,0.960644694,0.953920181,0.94724274,0.940612041,0.934027757,0.927489562
East South Central,dolPerKwh,0.117124932,0.124191051,0.117192213,0.11594654,0.11540425,0.1152847,0.115845043,0.115944847,0.116025377,0.115497589,0.114946281,0.113303485,0.111858633,0.110604446,0.10994101,0.109023906,0.107699572,0.10623969,0.105181045,0.10437295,0.103457494,0.102877525,0.102209302,0.100867516,0.099205763,0.098406038,0.097760307,0.097339989,0.096955412,0.096470192,0.095762632,0.095027561,0.094362368,0.093701831,0.093045918,0.092394597,0.091747835,0.0911056,0.090467861,0.089834586,0.089205744,0.088581304,0.087961234,0.087345506,0.086734087,0.086126949,0.08552406,0.084925392,0.084330914,0.083740597,0.083154413,0.082572332,0.081994326,0.081420366,0.080850423,0.08028447,0.079722479,0.079164422,0.078610271,0.078059999,0.077513579,0.076970984,0.076432187,0.075897161,0.075365881,0.07483832,0.074314452,0.073794251,0.073277691,0.072764747,0.072255394,0.071749606,0.071247359,0.070748627,0.070253387,0.069761613,0.069273282,0.068788369,0.06830685,0.067828703,0.067353902,0.066882424
East South Central,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
South Atlantic,gasolineDolPerGal,2.685224881,2.668090331,2.676945204,2.686008969,2.681991046,2.652864028,2.697011566,2.718255553,2.755400884,2.767119432,2.806462846,2.843463073,2.865762955,2.895880589,2.943239955,2.99539872,3.028244001,3.06723889,3.0749471,3.109372991,3.153054752,3.16330099,3.186081819,3.236319158,3.262572056,3.288908388,3.334600229,3.341233892,3.405316739,3.446263144,3.476214288,3.500596367,3.532101734,3.56389065,3.595965666,3.628329357,3.660984321,3.69393318,3.727178579,3.760723186,3.794569694,3.828720822,3.863179309,3.897947923,3.933029454,3.968426719,4.00414256,4.040179843,4.076541461,4.113230335,4.150249408,4.187601652,4.225290067,4.263317678,4.301687537,4.340402725,4.379466349,4.418881546,4.45865148,4.498779344,4.539268358,4.580121773,4.621342869,4.662934955,4.704901369,4.747245482,4.789970691,4.833080427,4.876578151,4.920467354,4.964751561,5.009434325,5.054519233,5.100009907,5.145909996,5.192223186,5.238953194,5.286103773,5.333678707,5.381681815,5.430116952,5.478988004
South Atlantic,dieselDolPerGal,3.007423819,2.893833911,2.895806977,2.931599948,2.94152339,2.989793441,3.00468087,3.056128544,3.062622543,3.108545989,3.137323187,3.15408628,3.190621383,3.215714022,3.258572636,3.287335546,3.31683633,3.350709676,3.373409139,3.402607547,3.433242136,3.433612103,3.457858751,3.50889799,3.531162917,3.560653534,3.609955042,3.612590834,3.646146692,3.678549925,3.701885324,3.723088295,3.749149913,3.775393963,3.80182172,3.828434473,3.855233514,3.882220148,3.909395689,3.936761459,3.964318789,3.992069021,4.020013504,4.048153599,4.076490674,4.105026109,4.133761291,4.16269762,4.191836504,4.221179359,4.250727615,4.280482708,4.310446087,4.34061921,4.371003544,4.401600569,4.432411773,4.463438655,4.494682726,4.526145505,4.557828524,4.589733323,4.621861456,4.654214487,4.686793988,4.719601546,4.752638757,4.785907228,4.819408579,4.853144439,4.88711645,4.921326265,4.955775549,4.990465978,5.025399239,5.060577034,5.096001073,5.131673081,5.167594792,5.203767956,5.240194332,5.276875692
South Atlantic,CNGDolPerGge,1.497027746,1.457586815,1.428943229,1.392329141,1.389529067,1.383076683,1.387417911,1.388401418,1.382046458,1.366478936,1.345278319,1.319005343,1.298105364,1.286868645,1.283066789,1.279504953,1.271302282,1.264459944,1.263048131,1.260651266,1.259262362,1.258226088,1.257250818,1.258797377,1.258648989,1.259126972,1.261507106,1.265814872,1.272216035,1.275580062,1.278650144,1.285075501,1.278650124,1.272256873,1.265895589,1.259566111,1.25326828,1.247001939,1.240766929,1.234563095,1.228390279,1.222248328,1.216137086,1.210056401,1.204006119,1.197986088,1.191996158,1.186036177,1.180105996,1.174205466,1.168334439,1.162492766,1.156680303,1.150896901,1.145142417,1.139416705,1.133719621,1.128051023,1.122410768,1.116798714,1.11121472,1.105658647,1.100130354,1.094629702,1.089156553,1.083710771,1.078292217,1.072900756,1.067536252,1.062198571,1.056887578,1.05160314,1.046345124,1.041113398,1.035907831,1.030728292,1.025574651,1.020446778,1.015344544,1.010267821,1.005216482,1.000190399
South Atlantic,dolPerKwh,0.101373973,0.107040217,0.109520457,0.112160155,0.11383459,0.115633212,0.117311306,0.118388542,0.11856035,0.118285196,0.11802078,0.11741978,0.116495049,0.115790011,0.115512424,0.115169487,0.114368367,0.113560975,0.11285841,0.112423373,0.111871414,0.111184923,0.110203134,0.109284924,0.108383374,0.107762069,0.107195271,0.106548384,0.105840052,0.105142831,0.10417183,0.103304039,0.103407343,0.10351075,0.103614261,0.103717875,0.103821593,0.103925415,0.10402934,0.10413337,0.104237503,0.10434174,0.104446082,0.104550528,0.104655079,0.104759734,0.104864494,0.104969358,0.105074327,0.105179402,0.105284581,0.105389866,0.105495256,0.105600751,0.105706352,0.105812058,0.10591787,0.106023788,0.106129812,0.106235942,0.106342177,0.10644852,0.106554968,0.106661523,0.106768185,0.106874953,0.106981828,0.10708881,0.107195898,0.107303094,0.107410397,0.107517808,0.107625326,0.107732951,0.107840684,0.107948525,0.108056473,0.10816453,0.108272694,0.108380967,0.108489348,0.108597837
South Atlantic,hydrogenDolPerGGE,10.6,10,9.4,8.8,8.2,7.6,7,6.88,6.76,6.64,6.52,6.4,6.28,6.16,6.04,5.92,5.8,5.68,5.56,5.44,5.32,5.2,5.08,4.96,4.84,4.72,4.6,4.48,4.36,4.24,4.12,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
West North Central,gasolineDolPerGal,2.675433727,2.624030079,2.601625379,2.579012906,2.543572525,2.482942103,2.495555028,2.516823012,2.553960262,2.565623105,2.604855732,2.641823506,2.664052265,2.694144908,2.741491466,2.793580103,2.8264224,2.865460808,2.873056117,2.907475543,2.951174836,2.961479887,2.984325745,3.034397588,3.060685799,3.086959463,3.132433958,3.139162617,3.203374529,3.244310738,3.274270585,3.298578558,3.321668608,3.344920288,3.36833473,3.391913073,3.415656465,3.43956606,3.463643022,3.487888524,3.512303743,3.53688987,3.561648099,3.586579635,3.611685693,3.636967493,3.662426265,3.688063249,3.713879692,3.739876849,3.766055987,3.792418379,3.818965308,3.845698065,3.872617952,3.899726277,3.927024361,3.954513532,3.982195126,4.010070492,4.038140986,4.066407973,4.094872828,4.123536938,4.152401697,4.181468509,4.210738788,4.24021396,4.269895458,4.299784726,4.329883219,4.360192401,4.390713748,4.421448744,4.452398886,4.483565678,4.514950638,4.546555292,4.578381179,4.610429847,4.642702856,4.675201776
West North Central,dieselDolPerGal,2.977674101,2.839743577,2.813557247,2.821190823,2.802955143,2.823065661,2.80979342,2.861241918,2.867735643,2.913659364,2.942436699,2.959199929,2.995735306,3.020827946,3.073829399,3.098756082,3.132093642,3.165966851,3.188666314,3.217864997,3.248499586,3.247909535,3.273116338,3.324107769,3.346420916,3.372814279,3.425212904,3.42778921,3.461404692,3.493808199,3.517143323,3.538346844,3.559576925,3.580934387,3.602419993,3.624034513,3.64577872,3.667653392,3.689659313,3.711797269,3.734068052,3.756472461,3.779011295,3.801685363,3.824495475,3.847442448,3.870527103,3.893750265,3.917112767,3.940615444,3.964259136,3.988044691,4.011972959,4.036044797,4.060261066,4.084622632,4.109130368,4.13378515,4.158587861,4.183539388,4.208640625,4.233892468,4.259295823,4.284851598,4.310560708,4.336424072,4.362442616,4.388617272,4.414948976,4.441438669,4.468087302,4.494895825,4.5218652,4.548996391,4.57629037,4.603748112,4.631370601,4.659158824,4.687113777,4.71523646,4.743527879,4.771989046
