VehicleClass,PowertrainType,1,2,3,4,5,6,7,8,9,10
Class 8 Sleeper,Conv,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Sleeper,BEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Sleeper,FCEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Sleeper,HEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Day,Conv,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Day,BEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Day,FCEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Day,HEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 7 Box,Conv,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 7 Box,BEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 7 Box,FCEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 7 Box,HEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Transit,Conv,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Transit,BEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Transit,FCEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479
Class 8 Transit,HEV,0.805974524,0.576364962,0.505904471,0.434629076,0.386356813,0.345425822,0.265007792,0.222654295,0.208093271,0.187613479