,vehicle_distance_bins_mi,p_of_distances,p_of_distances_normalized,expected_distance
0,1.253446842,0.008676414,0.428620737,0.53725331
1,1.430849292,0.008791636,0.434312807,0.621436173
2,1.608251742,0.008904327,0.439879805,0.707437463
3,1.785654193,0.00901437,0.445315995,0.795180373
4,1.963056643,0.009121652,0.450615818,0.884584374
5,2.140459093,0.009226065,0.455773905,0.975565398
6,2.317861543,0.009327505,0.460785091,1.068036043
7,2.495263993,0.009425871,0.46564443,1.16190578
8,2.672666444,0.009521067,0.4703472,1.257081178
9,2.850068894,0.009613004,0.474888922,1.353466144
10,3.027471344,0.009701594,0.479265366,1.450962161
11,3.204873794,0.009786759,0.483472565,1.549468553
12,3.382276244,0.009868423,0.487506821,1.648882741
13,3.559678695,0.009946517,0.491364719,1.749100523
14,3.737081145,0.010020978,0.49504313,1.850016348
15,3.914483595,0.010091748,0.498539222,1.951523605
16,4.091886045,0.010158776,0.501850465,2.053514914
17,4.269288496,0.010222018,0.504974639,2.155882418
18,4.446690946,0.010281434,0.507909839,2.258518081
19,4.624093396,0.010336993,0.510654476,2.361313991
20,4.801495846,0.010388668,0.513207286,2.464162654
21,4.978898296,0.010436442,0.515567329,2.566957297
22,5.156300747,0.010480301,0.517733991,2.669592165
23,5.333703197,0.010520239,0.519706987,2.771962816
24,5.511105647,0.010556259,0.521486358,2.873966411
25,5.688508097,0.010588366,0.523072473,2.975502001
26,5.865910547,0.010616575,0.524466028,3.076470805
27,6.043312998,0.010640907,0.525668038,3.176776488
28,6.220715448,0.010661388,0.52667984,3.276325418
29,6.398117898,0.010678053,0.527503085,3.375026926
30,6.575520348,0.01069094,0.528139732,3.472793553
31,6.752922798,0.010700096,0.528592046,3.569541278
32,6.930325249,0.010705573,0.528862588,3.665189744
33,7.107727699,0.010707428,0.528954207,3.759662467
34,7.285130149,0.010705724,0.528870034,3.85288703
35,7.462532599,0.01070053,0.528613472,3.944795264
36,7.639935049,0.010691921,0.528188183,4.035323415
37,7.8173375,0.010679976,0.527598085,4.124412293
38,7.99473995,0.010664779,0.526847331,4.212007405
39,8.1721424,0.010646418,0.525940306,4.298059076
40,8.34954485,0.010624987,0.52488161,4.382522543
41,8.526947301,0.010600584,0.523676046,4.465358043
42,8.704349751,0.010573308,0.522328606,4.546530874
43,8.881752201,0.010543265,0.520844461,4.626011442
44,9.059154651,0.010510563,0.519228943,4.703775292
45,9.236557101,0.010475312,0.51748753,4.779803116
46,9.413959552,0.010437626,0.515625834,4.854080746
47,9.591362002,0.010397622,0.513649587,4.926599127
48,9.768764452,0.010355416,0.51156462,4.997354276
49,9.946166902,0.01031113,0.509376855,5.066347219
50,10.12356935,0.010264885,0.507092285,5.133583914
51,10.3009718,0.010216802,0.504716958,5.199075152
52,10.47837425,0.010167005,0.502256965,5.26283645
53,10.6557767,0.010115618,0.499718422,5.324887922
54,10.83317915,0.010062765,0.497107456,5.385254133
55,11.0105816,0.01000857,0.494430189,5.443963944
56,11.18798405,0.009953157,0.491692723,5.501050343
57,11.3653865,0.009896648,0.488901126,5.556550255
58,11.54278895,0.009839164,0.486061416,5.610504348
59,11.7201914,0.009780828,0.483179551,5.662956825
60,11.89759385,0.009721757,0.48026141,5.713955202
61,12.0749963,0.009662069,0.477312782,5.763550084
62,12.25239875,0.009601879,0.474339355,5.811794922
63,12.42980121,0.0095413,0.471346699,5.85874577
64,12.60720366,0.009480441,0.46834026,5.904461037
65,12.78460611,0.009419412,0.465325343,5.949001224
66,12.96200856,0.009358315,0.462307106,5.992428663
67,13.13941101,0.009297251,0.459290546,6.034807257
68,13.31681346,0.00923632,0.456280493,6.076202204
69,13.49421591,0.009175614,0.453281597,6.116679736
70,13.67161836,0.009115225,0.450298325,6.156306844
71,13.84902081,0.009055239,0.447334949,6.195151016
72,14.02642326,0.008995737,0.444395542,6.233279962
73,14.20382571,0.008936799,0.44148397,6.27076136
74,14.38122816,0.008878499,0.438603889,6.307662593
75,14.55863061,0.008820906,0.435758738,6.344050493
76,14.73603306,0.008764084,0.432951736,6.379991098
77,14.91343551,0.008708096,0.430185882,6.415549406
78,15.09083796,0.008652997,0.427463946,6.450789147
79,15.26824041,0.008598839,0.424788475,6.485772555
80,15.44564286,0.008545667,0.422161785,6.520560156
81,15.62304531,0.008493526,0.419585966,6.555210564
82,15.80044776,0.008442452,0.417062882,6.589780286
83,15.97785021,0.008392479,0.41459417,6.624323543
84,16.15525266,0.008343635,0.412181242,6.658892098
85,16.33265511,0.008295944,0.409825289,6.693535107
86,16.51005756,0.008249427,0.407527287,6.728298969
87,16.68746001,0.008204097,0.405287995,6.763227202
88,16.86486246,0.008159968,0.403107962,6.798360329
89,17.04226491,0.008117045,0.400987534,6.833735776
90,17.21966736,0.008075331,0.398926858,6.869387789
91,17.39706981,0.008034826,0.396925887,6.905347366
92,17.57447226,0.007995525,0.39498439,6.941642198
93,17.75187471,0.00795742,0.393101954,6.978296633
94,17.92927716,0.007920498,0.391277997,7.015331652
95,18.10667961,0.007884745,0.389511772,7.052764857
96,18.28408206,0.007850142,0.387802377,7.090610478
97,18.46148451,0.007816669,0.386148762,7.128879393
98,18.63888696,0.0077843,0.384549742,7.167579165
99,18.81628941,0.007753011,0.383003999,7.206714085
100,18.99369186,0.00772277,0.381510098,7.246285239
101,19.17109431,0.007693548,0.380066493,7.286290583
102,19.34849676,0.00766531,0.378671538,7.326725029
103,19.52589921,0.007638022,0.377323495,7.367580544
104,19.70330166,0.007611647,0.376020547,7.408846266
105,19.88070411,0.007586147,0.374760802,7.450508623
106,20.05810656,0.007561481,0.37354231,7.492551467
107,20.23550901,0.00753761,0.372363068,7.534956213
108,20.41291146,0.007514492,0.371221029,7.577701995
109,20.59031391,0.007492085,0.370114115,7.620765819
110,20.76771636,0.007470347,0.369040226,7.66412273
111,20.94511882,0.007449234,0.367997243,7.707745988
112,21.12252127,0.007428704,0.366983048,7.751607237
113,21.29992372,0.007408714,0.365995522,7.795676693
114,21.47732617,0.007389221,0.365032559,7.839923325
115,21.65472862,0.007370183,0.364092074,7.884315046
116,21.83213107,0.007351559,0.363172009,7.9288189
117,22.00953352,0.007333307,0.362270343,7.973401252
118,22.18693597,0.007315387,0.361385096,8.018027982
119,22.36433842,0.007297761,0.360514339,8.062664671
120,22.54174087,0.00728039,0.359656197,8.10727679
121,22.71914332,0.007263237,0.358808859,8.151829889
122,22.89654577,0.007246268,0.35797058,8.196289776
123,23.07394822,0.007229449,0.357139689,8.240622694
124,23.25135067,0.007212747,0.356314591,8.284795501
125,23.42875312,0.007196131,0.355493773,8.328775833
126,23.60615557,0.007179573,0.354675807,8.372532269
127,23.78355802,0.007163046,0.353859354,8.416034486
128,23.96096047,0.007146524,0.353043169,8.459253407
129,24.13836292,0.007129985,0.352226096,8.502161344
130,24.31576537,0.007113406,0.351407081,8.544732128
131,24.49316782,0.007096768,0.350585163,8.586941234
132,24.67057027,0.007080054,0.349759483,8.628765897
133,24.84797272,0.007063248,0.348929279,8.670185217
134,25.02537517,0.007046338,0.348093892,8.711180252
135,25.20277762,0.007029311,0.347252761,8.751734111
136,25.38018007,0.007012159,0.346405423,8.791832021
137,25.55758252,0.006994874,0.345551517,8.831461402
138,25.73498497,0.00697745,0.344690775,8.870611919
139,25.91238742,0.006959884,0.343823029,8.909275526
140,26.08978987,0.006942176,0.342948201,8.947446504
141,26.26719232,0.006924324,0.342066308,8.985121489
142,26.44459477,0.006906331,0.341177453,9.022299483
143,26.62199722,0.006888201,0.340281827,9.058981864
144,26.79939967,0.00686994,0.339379706,9.09517238
145,26.97680212,0.006851554,0.338471443,9.130877141
146,27.15420457,0.006833053,0.33755747,9.166104595
147,27.33160702,0.006814446,0.336638292,9.200865497
148,27.50900947,0.006795746,0.335714482,9.235172876
149,27.68641192,0.006776965,0.334786682,9.269041987
150,27.86381437,0.006758117,0.333855593,9.302490259
151,28.04121682,0.006739218,0.332921973,9.335537236
152,28.21861927,0.006720285,0.331986637,9.368204514
153,28.39602172,0.006701334,0.331050446,9.400515668
154,28.57342417,0.006682384,0.330114309,9.432496176
155,28.75082662,0.006663454,0.329179173,9.464173339
156,28.92822907,0.006644565,0.328246025,9.495576199
157,29.10563152,0.006625736,0.327315882,9.526735446
158,29.28303397,0.00660699,0.326389791,9.557683332
159,29.46043643,0.006588347,0.325468823,9.588453573
160,29.63783888,0.00656983,0.324554071,9.619081256
161,29.81524133,0.006551461,0.323646642,9.649602744
162,29.99264378,0.006533263,0.322747659,9.680055574
163,30.17004623,0.006515259,0.321858253,9.710478363
164,30.34744868,0.006497472,0.32097956,9.740910709
165,30.52485113,0.006479925,0.320112719,9.771393092
166,30.70225358,0.006462641,0.31925887,9.80196678
167,30.87965603,0.006445643,0.318419147,9.832673732
168,31.05705848,0.006428954,0.317594679,9.863556509
169,31.23446093,0.006412596,0.316786584,9.894658176
170,31.41186338,0.006396591,0.31599597,9.926022222
171,31.58926583,0.006380963,0.315223928,9.957692466
172,31.76666828,0.006365733,0.314471536,9.989712978
173,31.94407073,0.006350922,0.313739851,10.022128
174,32.12147318,0.006336551,0.31302991,10.05498187
175,32.29887563,0.00632264,0.312342728,10.08831894
176,32.47627808,0.006309211,0.311679297,10.12218352
177,32.65368053,0.006296281,0.311040582,10.15661981
178,32.83108298,0.006283871,0.310427525,10.19167182
179,33.00848543,0.006271999,0.309841036,10.22738333
180,33.18588788,0.006260683,0.309282002,10.26379785
181,33.36329033,0.00624994,0.308751277,10.30095851
182,33.54069278,0.006239786,0.308249688,10.33890809
183,33.71809523,0.006230239,0.307778029,10.3776889
184,33.89549768,0.006221312,0.307337066,10.41734282
185,34.07290013,0.006213022,0.306927533,10.45791117
186,34.25030258,0.006205383,0.306550131,10.49943475
187,34.42770503,0.006198407,0.306205533,10.54195377
188,34.60510748,0.006192109,0.305894378,10.58550784
189,34.78250993,0.006186499,0.305617275,10.63013592
190,34.95991238,0.006181591,0.305374801,10.67587629
191,35.13731483,0.006177395,0.305167501,10.72276657
192,35.31471728,0.006173921,0.304995891,10.77084366
193,35.49211973,0.006171179,0.304860453,10.8201437
194,35.66952218,0.006169179,0.304761641,10.87070211
195,35.84692463,0.006167929,0.304699876,10.9225535
196,36.02432708,0.006167436,0.304675551,10.97573171
197,36.20172953,0.006167709,0.304689027,11.03026973
198,36.37913198,0.006168754,0.304740634,11.08619975
199,36.55653443,0.006170576,0.304830675,11.14355307
200,36.73393688,0.006173183,0.304959421,11.20236012
201,36.91133933,0.006176577,0.305127113,11.26265043
202,37.08874178,0.006180764,0.305333965,11.32445257
203,37.26614423,0.006185748,0.305580157,11.3877942
204,37.44354668,0.006191531,0.305865843,11.45270197
205,37.62094913,0.006198116,0.306191145,11.5192015
206,37.79835158,0.006205505,0.306556157,11.58731741
207,37.97575404,0.006213699,0.306960941,11.65707319
208,38.15315649,0.006222698,0.307405529,11.72849127
209,38.33055894,0.006232504,0.307889924,11.80159288
210,38.50796139,0.006243114,0.308414096,11.8763981
211,38.68536384,0.006254529,0.308977984,11.95292573
212,38.86276629,0.006266746,0.309581496,12.03119333
213,39.04016874,0.006279762,0.310224507,12.11121711
214,39.21757119,0.006293574,0.31090686,12.19301191
215,39.39497364,0.00630818,0.311628363,12.27659113
216,39.57237609,0.006323573,0.312388791,12.36196672
217,39.74977854,0.006339748,0.313187884,12.44914905
218,39.92718099,0.006356701,0.314025348,12.5381469
219,40.10458344,0.006374423,0.31490085,12.62896742
220,40.28198589,0.006392908,0.315814023,12.72161602
221,40.45938834,0.006412148,0.316764461,12.81609633
222,40.63679079,0.006432132,0.317751719,12.91241013
223,40.81419324,0.006452853,0.318775315,13.0105573
224,40.99159569,0.006474298,0.319834726,13.11053576
225,41.16899814,0.006496457,0.320929387,13.21234136
226,41.34640059,0.006519317,0.322058696,13.31596786
227,41.52380304,0.006542865,0.323222004,13.42140685
228,41.70120549,0.006567088,0.324418624,13.52864769
229,41.87860794,0.00659197,0.325647821,13.63767743
230,42.05601039,0.006617496,0.326908821,13.74848077
231,42.23341284,0.006643649,0.328200802,13.86103997
232,42.41081529,0.006670412,0.3295229,13.97533483
233,42.58821774,0.006697766,0.330874203,14.09134261
234,42.76562019,0.006725692,0.332253756,14.20903795
235,42.94302264,0.006754169,0.333660558,14.32839288
236,43.12042509,0.006783177,0.335093559,14.44937672
237,43.29782754,0.006812693,0.336551667,14.57195605
238,43.47522999,0.006842694,0.338033742,14.69609468
239,43.65263244,0.006873156,0.339538597,14.82175359
240,43.83003489,0.006904055,0.341065002,14.94889094
241,44.00743734,0.006935364,0.342611678,15.07746197
242,44.18483979,0.006967056,0.344177304,15.20741906
243,44.36224224,0.006999104,0.345760513,15.33871165
244,44.53964469,0.00703148,0.347359894,15.47128626
245,44.71704714,0.007064154,0.348973992,15.60508647
246,44.89444959,0.007097095,0.350601312,15.74005292
247,45.07185204,0.007130273,0.352240314,15.87612333
248,45.24925449,0.007163655,0.353889421,16.01323249
249,45.42665694,0.007197209,0.355547015,16.15131228
250,45.60405939,0.007230901,0.35721144,16.29029173
251,45.78146184,0.007264698,0.358881004,16.43009699
252,45.95886429,0.007298563,0.36055398,16.57065143
253,46.13626674,0.007332462,0.362228607,16.71187564
254,46.31366919,0.007366358,0.363903094,16.8536875
255,46.49107165,0.007400214,0.365575618,16.99600226
256,46.6684741,0.007433993,0.367244331,17.13873256
257,46.84587655,0.007467657,0.368907357,17.28178852
258,47.023279,0.007501168,0.370562799,17.42507786
259,47.20068145,0.007534486,0.372208735,17.56850593
260,47.3780839,0.007567572,0.373843228,17.71197583
261,47.55548635,0.007600388,0.375464323,17.85538851
262,47.7328888,0.007632892,0.377070052,17.99864287
263,47.91029125,0.007665045,0.378658435,18.14163588
264,48.0876937,0.007696807,0.380227482,18.28426271
265,48.26509615,0.007728136,0.381775202,18.42641683
266,48.4424986,0.007758994,0.383299596,18.56799016
267,48.61990105,0.007789339,0.384798669,18.7088732
268,48.7973035,0.007819132,0.386270426,18.84895519
269,48.97470595,0.007848331,0.387712879,18.98812424
270,49.1521084,0.007876897,0.38912405,19.12626748
271,49.32951085,0.007904789,0.390501972,19.26327124
272,49.5069133,0.00793197,0.391844692,19.39902122
273,49.68431575,0.007958398,0.393150279,19.53340261
274,49.8617182,0.007984036,0.39441682,19.66630031
275,50.03912065,0.008008846,0.395642426,19.79759909
276,50.2165231,0.008032789,0.396825239,19.92718377
277,50.39392555,0.008055829,0.397963428,20.05493938
278,50.571328,0.008077929,0.3990552,20.18075139
279,50.74873045,0.008099054,0.400098794,20.30450585
280,50.9261329,0.008119169,0.401092493,20.42608962
281,51.10353535,0.008138241,0.402034622,20.54539052
282,51.2809378,0.008156235,0.402923551,20.66229755
283,51.45834025,0.00817312,0.4037577,20.77670109
284,51.6357427,0.008188866,0.40453554,20.88849304
285,51.81314515,0.008203442,0.405255597,20.99756709
286,51.9905476,0.008216819,0.405916456,21.10381884
287,52.16795005,0.008228971,0.40651676,21.20714605
288,52.3453525,0.008239871,0.407055216,21.30744879
289,52.52275495,0.008249494,0.407530596,21.40462965
290,52.7001574,0.008257816,0.40794174,21.4985939
291,52.87755985,0.008264816,0.408287557,21.58924974
292,53.0549623,0.008270474,0.40856703,21.67650839
293,53.23236475,0.008274769,0.408779216,21.76028435
294,53.4097672,0.008277685,0.408923249,21.84049553
295,53.58716965,0.008279205,0.40899834,21.91706343
296,53.7645721,0.008279315,0.409003782,21.9899133
297,53.94197455,0.008278002,0.408938948,22.05897435
298,54.119377,0.008275256,0.408803298,22.12417982
299,54.29677945,0.008271068,0.408596374,22.18546723
300,54.4741819,0.008265429,0.408317806,22.24277844
301,54.65158435,0.008258334,0.40796731,22.29605985
302,54.8289868,0.008249779,0.407544691,22.34526251
303,55.00638926,0.008239762,0.407049845,22.39034223
304,55.18379171,0.008228283,0.406482756,22.43125975
305,55.36119416,0.008215342,0.4058435,22.46798079
306,55.53859661,0.008200945,0.405132243,22.5004762
307,55.71599906,0.008185095,0.404349243,22.52872204
308,55.89340151,0.008167799,0.40349485,22.55269968
309,56.07080396,0.008149068,0.402569506,22.57239584
310,56.24820641,0.008128911,0.401573742,22.58780271
311,56.42560886,0.008107341,0.400508182,22.59891801
312,56.60301131,0.008084373,0.39937354,22.60574499
313,56.78041376,0.008060023,0.39817062,22.60829253
314,56.95781621,0.008034309,0.396900314,22.60657514
315,57.13521866,0.00800725,0.395563604,22.60061302
316,57.31262111,0.007978869,0.394161558,22.59043203
317,57.49002356,0.007949189,0.392695329,22.57606372
318,57.66742601,0.007918234,0.391166155,22.55754531
319,57.84482846,0.007886032,0.389575357,22.53491971
320,58.02223091,0.007852611,0.387924337,22.50823545
321,58.19963336,0.007818001,0.386214575,22.47754664
322,58.37703581,0.007782233,0.384447629,22.44291299
323,58.55443826,0.007745341,0.382625132,22.40439968
324,58.73184071,0.007707359,0.38074879,22.36207731
325,58.90924316,0.007668323,0.37882038,22.31602186
326,59.08664561,0.00762827,0.376841744,22.26631455
327,59.26404806,0.007587239,0.374814791,22.21304179
328,59.44145051,0.00754527,0.372741493,22.15629503
329,59.61885296,0.007502404,0.370623881,22.09617068
330,59.79625541,0.007458684,0.368464042,22.03276996
331,59.97365786,0.007414151,0.366264116,21.96619877
332,60.15106031,0.007368852,0.364026294,21.89656755
333,60.32846276,0.007322831,0.361752813,21.8239911
334,60.50586521,0.007276134,0.359445954,21.74858847
335,60.68326766,0.007228808,0.357108039,21.67048274
336,60.86067011,0.007180902,0.354741425,21.58980086
337,61.03807256,0.007132463,0.352348502,21.50667346
338,61.21547501,0.00708354,0.34993169,21.42123465
339,61.39287746,0.007034183,0.347493434,21.33362183
340,61.57027991,0.006984442,0.345036201,21.24397548
341,61.74768236,0.006934368,0.342562476,21.15243894
342,61.92508481,0.00688401,0.340074757,21.05915818
343,62.10248726,0.006833419,0.337575555,20.96428159
344,62.27988971,0.006782647,0.335067385,20.86795976
345,62.45729216,0.006731745,0.332552765,20.77034519
346,62.63469461,0.006680762,0.330034213,20.67159212
347,62.81209706,0.006629752,0.32751424,20.57185625
348,62.98949951,0.006578763,0.324995351,20.47129449
349,63.16690196,0.006527846,0.322480034,20.37006472
350,63.34430441,0.006477052,0.319970765,20.26832554
351,63.52170687,0.00642643,0.317469996,20.16623602
352,63.69910932,0.006376029,0.314980157,20.06395545
353,63.87651177,0.006325898,0.31250365,19.96164306
354,64.05391422,0.006276084,0.310042845,19.85945779
355,64.23131667,0.006226636,0.307600079,19.75755805
356,64.40871912,0.0061776,0.305177648,19.65610143
357,64.58612157,0.006129021,0.30277781,19.55524446
358,64.76352402,0.006080944,0.300402776,19.45514241
359,64.94092647,0.006033413,0.298054709,19.35594896
360,65.11832892,0.005986471,0.295735722,19.25781604
361,65.29573137,0.005940159,0.293447873,19.16089352
362,65.47313382,0.005894517,0.291193164,19.06532903
363,65.65053627,0.005849586,0.288973537,18.9712677
364,65.82793872,0.005805403,0.286790872,18.87885196
365,66.00534117,0.005762005,0.284646984,18.78822128
366,66.18274362,0.005719428,0.282543621,18.699512
367,66.36014607,0.005677704,0.280482461,18.61285711
368,66.53754852,0.005636868,0.278465114,18.52838603
369,66.71495097,0.005596949,0.276493112,18.44622444
370,66.89235342,0.005557978,0.274567916,18.36649409
371,67.06975587,0.005519983,0.272690908,18.28931263
372,67.24715832,0.005482989,0.270863392,18.2147934
373,67.42456077,0.005447022,0.269086593,18.14304535
374,67.60196322,0.005412105,0.267361656,18.07417281
375,67.77936567,0.005378259,0.265689642,18.00827538
376,67.95676812,0.005345504,0.264071531,17.94544781
377,68.13417057,0.005313858,0.26250822,17.88577986
378,68.31157302,0.005283339,0.261000521,17.82935618
379,68.48897547,0.005253959,0.259549163,17.77625622
380,68.66637792,0.005225733,0.258154787,17.72655415
381,68.84378037,0.005198672,0.256817953,17.68031872
382,69.02118282,0.005172786,0.255539134,17.63761327
383,69.19858527,0.005148081,0.254318719,17.59849559
384,69.37598772,0.005124565,0.253157014,17.5630179
385,69.55339017,0.005102242,0.252054239,17.53122683
386,69.73079262,0.005081115,0.251010532,17.50316334
387,69.90819507,0.005061184,0.250025948,17.47886272
388,70.08559752,0.00504245,0.24910046,17.4583546
389,70.26299997,0.00502491,0.248233963,17.44166291
390,70.44040242,0.00500856,0.247426268,17.42880591
391,70.61780487,0.004993395,0.246677112,17.41979618
392,70.79520732,0.004979408,0.245986153,17.4146407
393,70.97260977,0.004966591,0.245352973,17.41334082
394,71.15001222,0.004954933,0.244777082,17.41589239
395,71.32741467,0.004944424,0.244257917,17.4222857
396,71.50481712,0.00493505,0.243794843,17.43250566
397,71.68221957,0.004926798,0.243387159,17.44653179
398,71.85962202,0.004919651,0.243034097,17.46433834
399,72.03702448,0.004913593,0.242734823,17.48589437
400,72.21442693,0.004908605,0.242488442,17.51116385
401,72.39182938,0.004904669,0.242293998,17.54010575
402,72.56923183,0.004901764,0.242150478,17.57267416
403,72.74663428,0.004899868,0.242056812,17.6088184
404,72.92403673,0.004898958,0.242011879,17.64848317
405,73.10143918,0.004899012,0.242014506,17.69160866
406,73.27884163,0.004900003,0.24206347,17.73813067
407,73.45624408,0.004901906,0.242157505,17.7879808
408,73.63364653,0.004904696,0.242295301,17.84108654
409,73.81104898,0.004908343,0.242475506,17.89737147
410,73.98845143,0.004912822,0.242696732,17.9567554
411,74.16585388,0.004918101,0.242957555,18.01915452
412,74.34325633,0.004924153,0.243256517,18.08448159
413,74.52065878,0.004930947,0.243592131,18.15264608
414,74.69806123,0.004938452,0.243962883,18.22355438
415,74.87546368,0.004946637,0.244367233,18.29710991
416,75.05286613,0.004955471,0.244803621,18.37321339
417,75.23026858,0.004964921,0.245270465,18.45176293
418,75.40767103,0.004974955,0.245766167,18.53265428
419,75.58507348,0.004985541,0.246289116,18.61578097
420,75.76247593,0.004996646,0.246837689,18.7010345
421,75.93987838,0.005008236,0.247410253,18.78830455
422,76.11728083,0.005020278,0.24800517,18.87747916
423,76.29468328,0.00503274,0.248620796,18.96844487
424,76.47208573,0.005045588,0.249255487,19.06108698
425,76.64948818,0.005058789,0.249907601,19.15528968
426,76.82689063,0.005072309,0.250575496,19.25093626
427,77.00429308,0.005086115,0.25125754,19.34790928
428,77.18169553,0.005100175,0.251952106,19.44609077
429,77.35909798,0.005114455,0.252657579,19.54536239
430,77.53650043,0.005128924,0.253372354,19.64560564
431,77.71390288,0.005143549,0.254094844,19.746702
432,77.89130533,0.005158299,0.254823475,19.84853313
433,78.06870778,0.005173141,0.255556696,19.95098104
434,78.24611023,0.005188045,0.256292974,20.05392826
435,78.42351268,0.005202981,0.257030797,20.157258
436,78.60091513,0.005217918,0.257768682,20.26085431
437,78.77831758,0.005232826,0.258505169,20.36460226
438,78.95572003,0.005247677,0.259238825,20.46838808
439,79.13312248,0.005262443,0.259968249,20.57209932
440,79.31052493,0.005277095,0.260692071,20.67562497
441,79.48792738,0.005291606,0.26140895,20.77885567
442,79.66532983,0.005305951,0.262117584,20.88168379
443,79.84273228,0.005320103,0.262816702,20.98400358
444,80.02013473,0.005334037,0.263505071,21.08571132
445,80.19753718,0.00534773,0.264181497,21.18670543
446,80.37493963,0.005361157,0.264844822,21.28688658
447,80.55234209,0.005374297,0.26549393,21.38615786
448,80.72974454,0.005387127,0.266127744,21.48442481
449,80.90714699,0.005399627,0.266745231,21.58159559
450,81.08454944,0.005411776,0.267345397,21.67758108
451,81.26195189,0.005423555,0.267927295,21.77229493
452,81.43935434,0.005434946,0.268490018,21.8656537
453,81.61675679,0.005445931,0.269032706,21.95757691
454,81.79415924,0.005456495,0.269554542,22.04798715
455,81.97156169,0.00546662,0.270054757,22.13681014
456,82.14896414,0.005476293,0.270532624,22.2239748
457,82.32636659,0.005485501,0.270987464,22.30941333
458,82.50376904,0.005494229,0.271418646,22.39306125
459,82.68117149,0.005502466,0.271825581,22.47485747
460,82.85857394,0.005510202,0.27220773,22.55474433
461,83.03597639,0.005517426,0.2725646,22.63266766
462,83.21337884,0.005524129,0.272895743,22.70857681
463,83.39078129,0.005530304,0.273200758,22.7824247
464,83.56818374,0.005535942,0.273479293,22.85416781
465,83.74558619,0.005541038,0.273731039,22.92376629
466,83.92298864,0.005545586,0.273955733,22.99118388
467,84.10039109,0.005549583,0.27415316,23.05638801
468,84.27779354,0.005553024,0.27432315,23.11934978
469,84.45519599,0.005555907,0.274465576,23.18004397
470,84.63259844,0.00555823,0.274580357,23.23844907
471,84.81000089,0.005559993,0.274667457,23.29454723
472,84.98740334,0.005561196,0.274726882,23.34832434
473,85.16480579,0.00556184,0.274758684,23.39976995
474,85.34220824,0.005561927,0.274762955,23.44887731
475,85.51961069,0.005561458,0.27473983,23.49564332
476,85.69701314,0.005560439,0.274689487,23.54006857
477,85.87441559,0.005558874,0.274612143,23.58215726
478,86.05181804,0.005556767,0.274508056,23.62191725
479,86.22922049,0.005554124,0.274377523,23.65935995
480,86.40662294,0.005550954,0.274220882,23.69450039
481,86.58402539,0.005547262,0.274038508,23.7273571
482,86.76142784,0.005543057,0.273830811,23.75795214
483,86.93883029,0.00553835,0.273598241,23.78631106
484,87.11623274,0.005533148,0.273341283,23.81246282
485,87.29363519,0.005527463,0.273060456,23.83643979
486,87.47103764,0.005521307,0.272756313,23.8582777
487,87.64844009,0.00551469,0.272429441,23.87801557
488,87.82584254,0.005507626,0.272080461,23.89569569
489,88.00324499,0.005500127,0.271710021,23.91136356
490,88.18064744,0.005492208,0.271318804,23.92506781
491,88.35804989,0.005483882,0.27090752,23.93686017
492,88.53545234,0.005475166,0.270476908,23.94679539
493,88.71285479,0.005466073,0.270027735,23.95493121
494,88.89025724,0.005456621,0.269560793,23.96132821
495,89.0676597,0.005446826,0.269076901,23.96604984
496,89.24506215,0.005436704,0.268576901,23.96916224
497,89.4224646,0.005426275,0.268061659,23.97073424
498,89.59986705,0.005415554,0.267532063,23.97083725
